algorithm,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,cumulative_energy_joule,avg_distance_km,avg_load_balance_cv,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,num_server_boots,num_server_shutdowns,num_pod_creates,num_pod_deletes,num_requests_rejected_queue_full,num_requests_rejected_no_replica,avg_active_servers,num_scale_up,num_scale_down,num_turn_on,num_turn_off,total_requests,completed_requests
greedy,51.90977670228176,238.00503380926943,437.00417472729004,1709,5.006298151565749,36343811.70000014,17.00341699057214,0.5380342434626312,2.274333213701943,2.7782513087613863,3.0569169471261137,49,47,173,158,1108,14,1.1686328938237336,144,53,46,47,34137,33015
voila,52.01247172747405,237.00478505500655,437.00520037772236,1697,4.971145677710402,35220552.099999815,16.78737088605076,0.5032784503446274,2.271594152935006,2.7773634080317153,3.0569169471261137,57,55,179,164,1081,14,1.4038861901457322,143,58,54,56,34137,33042
hpa,52.71836474754796,244.00512167869192,445.0048575756767,1850,5.419339719366084,30778837.49999984,20.63361179213085,0.2490131035569251,2.3425430505011984,2.952490278715845,3.2739005018947602,6,3,258,243,1183,14,2.023594725884802,234,232,3,4,34137,32940
ppo,33.527403696773824,117.00473188736466,283.5246088299407,805,2.3581451211295663,40955332.99999975,15.137990351360191,0.5300333289479874,2.2683103826489637,2.7075107836298034,2.9586723919802456,6,3,52,22,574,14,3.0159611380985427,35,4,3,3,34137,33549
