total_requests,slow_requests,E_pct,servers_on,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,avg_load_balance_cv,cycle,total_replicas,cumulative_energy_joule,server_utilization
217,183,84.33179723502305,2,87.5998907847128,326.0160300623551,525.619590247119,173,79.72350230414746,14.247166215461707,19.245623422477024,32.61193712794013,37.89677205071839,0.5315635576352414,0,30,175067.7,0.0
202,178,88.11881188118812,2,82.00552175080722,299.0131790156374,389.7191467031007,164,81.18811881188118,15.2824521177947,20.373235955742512,35.863857096569774,40.186312599811544,0.6124229991141755,1,30,297091.2,7.233333333333333
206,152,73.7864077669903,3,51.36140625590876,175.0337989986859,225.01690907548013,141,68.44660194174757,11.933167759545178,16.746061734003547,29.774605437559153,36.104876806589104,0.4322794467363872,2,45,442716.9,4.488888888888889
182,133,73.07692307692308,4,46.20327865825113,150.02190199785505,213.31452954738606,120,65.93406593406593,11.696564142803087,16.465471437937893,28.332385662293483,32.05706139040162,0.31809604341099285,3,45,601353.6,3.433333333333333
185,132,71.35135135135135,5,51.32983519845251,172.00336568555318,304.0103863012995,121,65.4054054054054,11.581539910122695,16.321684938993606,27.153872807872308,28.77686249974624,0.4786047631260226,4,60,735477.6,2.4266666666666667
150,92,61.333333333333336,6,32.042007901248475,120.01418322136789,220.41275163358642,81,54.0,10.710133000556162,15.341234581805372,25.25185763458477,27.548717766420367,0.41820370447860716,5,75,880520.3999999999,2.0555555555555554
163,90,55.214723926380366,7,37.02170454930795,120.01303753680027,180.02220156351962,81,49.693251533742334,10.890435500437853,15.569579982802228,25.35486483294055,28.308339705018934,0.3896671197899764,6,75,1057440.5999999999,1.4285714285714286
167,91,54.49101796407186,8,35.84649917482881,120.01788281458771,150.0195624598808,81,48.50299401197605,9.665582080507376,14.163845487490962,24.168903743765657,25.923635326516262,0.5078478031602713,7,90,1270246.4999999998,1.3583333333333334
181,86,47.51381215469613,9,27.747158156380856,90.01256934368139,148.01890307906126,79,43.646408839779006,7.857029981861979,12.351526546605566,21.941582468241837,26.304843501788838,0.45987432102897363,8,105,1474313.0999999999,1.237037037037037
158,77,48.734177215189874,10,37.13328167489172,120.009431448087,188.61282649068616,70,44.30379746835443,8.497921231203081,13.028510334754062,24.168903743765657,27.88387025783414,0.4970081141201916,9,105,1676950.4999999998,1.2066666666666668
140,58,41.42857142857143,10,26.620362565653366,90.00665974719745,134.1584556854258,51,36.42857142857143,8.658828176258968,13.219708510514362,22.908762705068018,28.873413461858124,0.47310561747063073,10,105,1873276.1999999997,1.0533333333333332
155,67,43.225806451612904,10,30.406745479296298,100.01009340738335,163.8074811493811,59,38.064516129032256,8.632557013553445,13.197092199519618,24.39581466107671,28.2306039927919,0.5152682238838302,11,105,2081273.0999999996,0.9333333333333333
139,56,40.28776978417266,10,29.991601533848698,100.0060795647984,138.6161288898415,49,35.25179856115108,8.73357153901364,13.184267661644185,24.168903743765657,28.643740197501824,0.43123152914978985,12,105,2293017.3,1.0333333333333334
131,38,29.00763358778626,10,28.34021153932476,90.013226166481,120.0153487787924,36,27.480916030534353,7.521986373390351,11.967264515598197,20.26890748884476,25.11940681733643,0.4007077428685109,13,105,2502716.4,0.9266666666666666
130,41,31.53846153846154,10,32.31296186787674,111.01190413227677,147.11096075604326,34,26.153846153846153,8.450987023824945,12.961867876735162,23.210703548812553,28.29152132603202,0.4332222901547022,14,105,2705433.3,0.8733333333333333
122,37,30.327868852459016,10,24.644060011176496,89.00832065090489,143.71490582537086,32,26.229508196721312,8.410529925657409,12.912470192884898,23.362073619081322,27.660482725245053,0.3545296581409859,15,105,2900797.5,0.8666666666666667
119,34,28.571428571428573,10,28.197694343542118,91.0175422168452,137.31265181341888,29,24.369747899159663,8.326902291382792,12.820393962285026,23.453838636900525,30.027562855126753,0.38625911156109455,16,105,3097251.0,0.8133333333333334
111,38,34.234234234234236,10,20.508063972520823,70.02036547885254,90.00893642984066,33,29.72972972972973,8.165822272369487,12.568477025327006,24.463739739541275,29.981168243291357,0.3027344821853919,17,105,3281527.2,0.7933333333333333
127,56,44.09448818897638,10,36.21039407316579,123.5162618587292,178.71085773936719,44,34.645669291338585,8.937278001832583,13.543679465003445,26.52983259697721,29.6501132710953,0.48426554529804733,18,105,3483835.2,0.74
128,52,40.625,10,34.364353178785436,123.26831108194281,157.314702009293,44,34.375,8.350885013466048,12.79067878543658,22.672723402882763,28.32517803332533,0.4193636653728651,19,105,3678268.5,0.8466666666666667
151,63,41.72185430463576,10,29.973403506426447,110.01021656675337,135.01577407393148,54,35.76158940397351,8.653418984559577,13.138605764192809,24.621030436023,28.193786259316305,0.36517002948276656,20,105,3890947.5,0.8533333333333334
161,71,44.099378881987576,10,33.864163663561264,100.0161343700454,162.01658141603164,63,39.130434782608695,8.732900077493943,13.231986542629574,24.650556119148227,28.53709229171069,0.45468197145416667,21,105,4115751.6,1.0066666666666666
159,74,46.540880503144656,10,28.333671604315914,90.01787184086992,120.01506930545916,59,37.106918238993714,8.440251220238194,12.916887334783407,24.345956779122336,28.708260959978173,0.5084513804717181,22,105,4317161.4,1.0733333333333333
143,59,41.25874125874126,10,32.271593602472244,100.01028821770022,150.0126689472742,57,39.86013986013986,8.314818275588337,12.852343730988233,21.781350755987216,29.03843744301828,0.45949104356648096,23,105,4519651.2,1.06
194,99,51.03092783505155,10,33.77543697402864,120.00713352914482,152.11372025994112,86,44.329896907216494,8.096220330769292,12.550376090502173,23.409497150882256,28.37712043302398,0.40710125995308094,24,105,4773091.2,0.9533333333333334
182,81,44.505494505494504,10,39.26049326509341,120.02188157347611,180.0064120659531,73,40.10989010989011,8.70697057704438,13.240517840663225,22.159630263321286,25.090454571199633,0.4494599187220459,25,105,5037966.9,1.2933333333333332
218,110,50.45871559633027,10,47.747365211936724,180.0165926008969,294.9195252924484,102,46.788990825688074,8.82693336943229,13.420257808285445,25.55392014922967,28.545399258915197,0.5660297604628631,26,105,5315302.800000001,1.2133333333333334
287,179,62.36933797909408,10,45.2851385610246,157.01312841114006,212.11628323747883,169,58.88501742160279,8.828952699790175,13.361557540288112,26.350222750970044,30.109303579590875,0.507200761957112,27,105,5584501.800000001,1.4533333333333334
717,557,77.68479776847978,10,85.94614518658474,300.0107763155782,475.2135414456132,549,76.56903765690376,8.5528581010864,13.0907932793126,24.66956963309304,29.073334911502318,0.6174093836131394,28,105,6079859.700000001,1.9133333333333333
