total_requests,slow_requests,E_pct,servers_on,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,avg_load_balance_cv,cycle,total_replicas,cumulative_energy_joule,server_utilization
217,183,84.33179723502305,2,87.5998907847128,326.0160300623551,525.619590247119,173,79.72350230414746,14.247166215461707,19.245623422477024,32.61193712794013,37.89677205071839,0.5315635576352414,0,30,175067.7,0.0
202,178,88.11881188118812,2,82.00552175080722,299.0131790156374,389.7191467031007,164,81.18811881188118,15.2824521177947,20.373235955742512,35.863857096569774,40.186312599811544,0.6124229991141755,1,30,297091.2,7.233333333333333
206,153,74.27184466019418,3,52.08966106387146,178.76712971813322,239.26920509483136,142,68.93203883495146,12.026009354740111,16.84552989087506,29.774605437559153,36.104876806589104,0.46830273396441946,2,41,439116.9,4.488888888888889
182,135,74.17582417582418,4,51.09413178132783,173.76427427787937,377.14499820193925,122,67.03296703296704,12.390282981180038,17.208704404751106,30.41572905927222,43.85109879851154,0.34256496982722306,3,41,594153.6,3.433333333333333
185,121,65.4054054054054,5,44.96675320910407,158.0134627422135,279.0103863012995,110,59.45945945945946,10.743172737564638,15.40185775271273,27.153872807872308,28.77686249974624,0.5530738058229964,4,62,730077.6,2.4266666666666667
150,95,63.333333333333336,6,31.868770914143994,120.01194793617277,220.41275163358642,81,54.0,10.800060650363607,15.43758081066273,25.526765277438212,28.303633542971937,0.49649546857278964,5,65,866120.3999999999,2.0555555555555554
163,61,37.423312883435585,7,31.12418676045534,118.00849373847718,180.01713252316196,52,31.901840490797547,9.244711311517726,13.757312602578619,24.67481070830266,32.612810637258434,0.4022616600950402,6,83,1050240.5999999999,1.4285714285714286
167,79,47.30538922155689,8,35.76220779025254,135.51383541712624,186.8220975954322,68,40.7185628742515,9.237114662407926,13.704796240562752,24.24718273396011,29.59732018107142,0.4882771509165656,7,83,1256746.4999999998,1.3583333333333334
181,65,35.91160220994475,9,25.139051469641988,90.02001390875056,128.01490802365913,60,33.149171270718234,7.509924499767516,11.979646437572088,20.013908750562567,25.84500064124343,0.3745866438349543,8,97,1453613.0999999999,1.237037037037037
158,65,41.139240506329116,10,33.72212540209272,120.0077344696525,168.6194332848342,54,34.177215189873415,8.741952255693608,13.2646425990478,24.79688114547466,27.510106691592913,0.4789046054750211,9,93,1645450.4999999998,1.2066666666666668
140,41,29.285714285714285,10,25.290557878303613,90.01222241823108,120.02585211818412,33,23.571428571428573,7.587733017741079,11.986449732182518,20.501744650467916,25.861956685693315,0.37986008551124223,10,93,1830976.1999999997,1.0533333333333332
155,60,38.70967741935484,10,30.51566870531168,120.0089354285175,180.01806254940962,51,32.903225806451616,7.9767824370064595,12.442898860064032,24.287522956007997,29.99440869774746,0.4994720936173455,11,99,2033573.0999999996,0.9333333333333333
139,38,27.33812949640288,10,31.667244706130177,141.01459595082994,192.41175683870176,29,20.863309352517987,8.212496651381274,12.568447137372967,22.416841398633128,24.874030590109815,0.4936664199909665,12,95,2236317.3,1.0333333333333334
131,29,22.137404580152673,10,31.416681344176038,95.01768092532772,243.02265388291698,25,19.083969465648856,7.732491619827537,12.101191504284042,21.167520322960797,25.978818980567357,0.3710973850418853,13,87,2429816.4,0.9266666666666666
130,42,32.30769230769231,10,33.78281382478433,111.0211310513292,150.02982929630397,33,25.384615384615383,9.002071834162482,13.583055553558335,25.289124350439334,27.324371227526957,0.4066297898444923,14,91,2619933.3,0.8733333333333333
122,40,32.78688524590164,10,25.030367391803985,99.51238249223307,173.72918714871932,27,22.131147540983605,9.370690632377423,13.97394918103319,26.24701879392479,35.166215536747394,0.3666836063190773,15,90,2801797.5,0.8666666666666667
119,42,35.294117647058826,10,34.223910544917224,120.02241715414009,201.01819683608883,36,30.252100840336134,9.297366285721079,13.826511303784429,27.7071735423767,33.71892739832721,0.4092135667350573,16,76,2972151.0,0.8133333333333334
111,39,35.13513513513514,10,28.544561935947755,120.01016732644257,178.01430674618666,34,30.63063063063063,8.563340774862446,13.030404416226968,25.088181723034307,30.17745021658871,0.41845758439579667,17,73,3127627.2,0.7933333333333333
127,47,37.00787401574803,10,37.59637668354298,150.03510752067967,194.81574730781918,39,30.708661417322833,9.082734760567478,13.699518188643273,24.098909211962102,37.42733526800054,0.485697583043734,18,83,3310135.2,0.74
128,34,26.5625,10,30.66862427029002,100.0156867692272,150.0205265321579,29,22.65625,7.962217622986415,12.374270290021379,23.650612244050777,28.11194758683323,0.35052161719844915,19,96,3496468.5,0.8466666666666667
151,46,30.4635761589404,10,31.144963211266223,120.0145377168635,180.0482021313889,39,25.827814569536425,8.168280357636208,12.512880140393218,23.611652054702976,29.44254056469486,0.4771965121561785,20,96,3701047.5,0.8533333333333334
161,53,32.91925465838509,10,31.77066275456644,100.01849755579957,162.01395948021317,45,27.950310559006212,8.468270315792578,12.898779411159712,24.650556119148227,28.146145740910637,0.5204644291522141,21,101,3922251.6,1.0066666666666666
159,45,28.30188679245283,10,26.332486705781328,91.01127182095071,139.7106321367515,37,23.270440251572328,7.334290543426372,11.731988800200222,22.730774894070503,26.685595238138113,0.4921635301457168,22,102,4120961.4,1.0733333333333333
143,43,30.06993006993007,10,28.627991686680062,90.01582851616762,139.51354575177018,40,27.972027972027973,8.138102939441222,12.607071295446897,21.15687539148461,29.638171637333176,0.43103378402647263,23,100,4318951.2,1.06
194,79,40.72164948453608,10,35.01708894802683,143.5244278063543,244.2054539756422,70,36.08247422680412,7.559685348135938,11.934308851577441,22.72142531411639,26.83958075848156,0.4808843696498188,24,110,4576891.2,0.9533333333333334
182,60,32.967032967032964,10,37.13304344784143,139.27500221516618,221.41629478144833,53,29.12087912087912,7.78453085072551,12.164326962308643,21.707502936084385,28.020550694156814,0.4409592728086037,25,114,4849866.9,1.2933333333333332
218,78,35.77981651376147,10,43.975631330199604,180.00232392447862,358.3111379571814,70,32.11009174311926,7.859359825585397,12.328577906019929,24.033630204442343,28.403404735065145,0.5545075251763264,26,119,5139802.800000001,1.2133333333333334
287,131,45.64459930313589,10,34.55135808560951,123.51304220787631,180.01968211057883,125,43.55400696864111,6.919925584988535,11.288399198353599,19.791874543397665,25.38674663629522,0.5296357448845869,27,125,5427001.800000001,1.4533333333333334
717,503,70.1534170153417,10,65.2081942287977,240.01632887245276,450.01448075365903,498,69.4560669456067,7.132822862324902,11.54150913242201,20.735158108745498,25.516556988174166,0.4811087885050245,28,127,5942159.700000001,1.9133333333333333
