algorithm,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,cumulative_energy_joule,avg_distance_km,avg_load_balance_cv,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,num_server_boots,num_server_shutdowns,num_pod_creates,num_pod_deletes,num_requests_rejected_queue_full,num_requests_rejected_no_replica,avg_active_servers,num_scale_up,num_scale_down,num_turn_on,num_turn_off,total_requests,completed_requests
greedy,50.89487716464055,235.00478443949305,434.00469285947526,1667,4.8832644930720335,31809636.699999787,18.148834778037074,0.30233657152202087,2.2980617938411996,2.863208566203121,3.149308979896505,93,91,365,350,1040,68,2.1682859125607217,323,209,90,91,34137,33029
voila,51.501027696651136,235.0044682938759,439.2253187582327,1634,4.786595189969828,31514762.200000253,20.636829190691483,0.2859132710122961,2.3507510549155666,2.952449519340577,3.2739005018947602,76,74,283,268,1036,22,2.128383067314365,252,157,73,74,34137,33079
hpa,52.71828954811774,244.00515859248515,445.00489966563237,1859,5.445704074757594,30658504.799999826,20.702689944505632,0.24610797357470543,2.343397326440864,2.954862077547828,3.2739005018947602,6,4,258,243,1187,19,2.023594725884802,234,231,3,4,34137,32931
ppo,36.44669754017801,135.00438844336819,322.8548738069568,855,2.5046137621935145,48528438.39999992,14.976972644152292,0.9394563948982276,2.2631566424427607,2.74564310479571,3.0252652557685353,5,0,42,5,607,14,4.70645385149202,27,5,2,0,34137,33516
