#{"t_start": 1786248552.3410864, "env_id": "None"}
r,l,t
-1734.830166,2883,507.223578
-1800.778238,2883,904.666225
-1760.637528,2883,1326.446105
-1773.63072,2883,1733.796258
-1745.312577,2883,2162.383774
-1728.363897,2883,2561.894334
-1728.46006,2883,2960.969773
-1758.326017,2883,3378.868406
-1764.752088,2883,3779.069473
-1757.703228,2883,4209.213785
-1766.794526,2883,4608.097379
-1718.458629,2883,5010.438839
-1759.520442,2883,5443.943898
-1746.547963,2883,5848.655911
-1735.969418,2883,6278.237441
-1695.776392,2883,6683.890388
-1722.600531,2883,7082.366206
-1725.125543,2883,7515.083099
-1708.120305,2883,7919.384925
-1723.197582,2882,8354.032641
-1701.751863,2883,8755.454686
-1710.734604,2883,9156.423464
-1704.963744,2883,9594.923756
-1709.523714,2883,10009.557894
-1699.206121,2883,10435.252791
-1712.143958,2883,10850.118839
-1741.835816,2883,11279.277652
-1729.634645,2883,11697.48715
-1723.807277,2883,12108.70745
-1704.418486,2883,12545.038538
-1714.09709,2883,12950.168397
-1702.598559,2883,13387.54976
-1700.20089,2883,13802.57938
-1690.08964,2883,14216.75306
-1703.666108,2883,14642.75257
-1700.939711,2883,15048.313892
-1694.799753,2883,15471.95313
-1695.685762,2883,15881.830501
-1699.370833,2883,16290.736423
-1731.432362,2883,16719.278638
-1698.793446,2883,17134.735102
-1712.690613,2883,17558.686767
-1707.853526,2883,17959.615981
-1729.680662,2883,18362.363421
-1714.029415,2883,18818.616508
-1726.870009,2882,19263.384516
-1724.184102,2883,19728.93463
-1743.360779,2883,20170.146082
-1750.635304,2883,20623.260822
-1711.008599,2883,21106.336414
-1712.626779,2883,21550.845095
-1722.227191,2883,22026.059884
-1735.831534,2882,22428.981778
-1748.081203,2883,22858.690029
-1712.882156,2882,23257.820137
-1765.450667,2883,23664.747332
-1720.759789,2883,24088.674328
-1753.516643,2883,24591.924479
-1737.848095,2883,25115.19621
-1758.794472,2883,25610.081301
-1782.574461,2883,26104.11254
-1749.785827,2883,26642.710611
-1735.618584,2883,27241.850194
-1729.643866,2883,27875.963617
-1753.240718,2883,28470.602452
-1759.757144,2883,29069.355595
-1738.212327,2883,29700.844645
-1721.470704,2883,35823.62112
-1742.958981,2883,36242.513395
-1743.476368,2883,36661.186711
-1757.489993,2883,37095.077995
-1763.384106,2883,37559.737097
-1734.736867,2883,37980.723984
-1791.751714,2883,38458.93537
-1754.445268,2883,38935.241833
-1782.234291,2883,39376.506262
-1744.13425,2883,39802.267723
-1766.736317,2883,40191.431031
-1733.683119,2883,40606.040103
-1737.213612,2883,40998.308581
-1757.714619,2883,41425.12217
-1784.115211,2883,41827.496075
-1746.155577,2883,42219.453606
-1749.933536,2883,42681.077862
-1773.002053,2882,43118.700586
-1758.640891,2883,43562.101846
-1756.763802,2883,43959.357425
