#{"t_start": 1786053681.9891865, "env_id": "None"}
r,l,t
-963.38151,2883,511.553893
-954.24068,2883,924.816846
-1002.99482,2883,1351.65124
-894.363985,2883,1757.501466
-932.874552,2883,2183.151424
-926.747348,2883,2595.512745
-859.196552,2883,3013.620635
-848.75757,2883,3436.287157
-834.108023,2883,3845.716977
-784.99337,2882,4272.385878
-758.575773,2883,4668.600366
-769.120857,2883,5073.400657
-745.594155,2883,5508.541432
-764.142359,2883,5915.558595
-753.917669,2883,6349.231655
-786.949753,2883,6756.852967
-758.054724,2883,7158.303207
-747.869479,2883,7578.990824
-762.492677,2883,7985.884287
-754.809578,2883,8414.148482
-761.651794,2883,8829.622386
-755.674304,2883,9234.471167
-749.346966,2883,9670.836305
-758.665424,2883,10078.076856
-771.040608,2883,10524.98075
-756.654904,2883,10928.92326
-739.503669,2883,11359.506724
-759.178532,2883,11761.993392
-761.895223,2883,12163.272715
-767.152116,2883,12591.13453
-748.85815,2883,13006.033204
-759.255344,2883,13446.744702
-752.608181,2883,13849.165428
-757.350448,2883,14250.570802
-766.487268,2883,14684.815825
-773.325301,2883,15091.420084
-750.515545,2883,15522.397909
-772.119102,2883,15925.575769
-776.393725,2883,16327.67884
-751.315298,2883,16752.26427
-742.266263,2883,17160.428131
-783.19386,2883,17598.619511
-770.586569,2883,18000.360797
-741.999049,2883,18402.382622
-760.667288,2883,18830.11685
-745.054123,2883,19243.592586
-752.970721,2883,19680.339415
-770.291181,2883,20096.856798
-765.77247,2883,20514.980575
-759.286847,2883,20954.839004
-753.511282,2883,21362.520468
-782.738368,2883,21790.852334
-763.910639,2883,22207.721951
-760.682182,2883,22642.484996
-761.316356,2883,23047.625693
-765.704255,2883,23462.992272
-768.148762,2883,23894.963486
-765.465038,2883,24299.168603
-777.471615,2883,24728.815452
-784.901096,2883,25148.621379
-765.228375,2883,25562.479144
-780.92954,2883,25995.440794
-768.204054,2883,26406.903109
-763.664683,2883,26845.93158
-751.862912,2883,27257.876599
-760.247036,2883,27664.77494
-766.15957,2883,28099.13896
-783.849979,2883,28518.542302
-771.708092,2883,28956.988845
-779.152563,2883,29368.481217
-771.088054,2883,29773.261581
-772.768776,2883,30204.253157
-776.584857,2883,30613.784263
-781.199971,2883,31047.50264
-774.475706,2883,31456.295743
-770.141155,2883,31871.556379
-775.000534,2883,32301.200977
-781.227584,2883,32709.030786
-765.051673,2883,33166.86672
-758.542493,2883,33637.902439
-775.547071,2883,34103.251267
-775.41417,2882,34526.13097
-774.262227,2883,34964.437397
-783.768706,2883,35433.640823
-750.418424,2882,35861.382715
-773.542609,2883,36289.110612
-791.852299,2883,36691.615175
