#{"t_start": 1786009385.856491, "env_id": "None"}
r,l,t
-60.68751,363,150.656687
-85.045209,363,196.357922
-128.872075,363,238.91229
-96.321088,363,285.628002
-92.318157,363,337.147606
-102.861958,363,405.101925
-127.93124,363,450.71999
-134.143132,363,498.147835
-114.641146,363,543.609509
-119.152725,363,591.471849
-54.794971,363,639.697212
-130.595656,363,723.831746
-126.944765,363,780.911978
-128.766494,363,825.145574
-111.566905,363,873.285498
-112.728558,363,915.675549
-107.632294,363,982.208254
-100.155864,363,1028.041997
-108.269152,363,1074.155999
-108.120968,363,1118.686465
-111.973707,363,1164.260003
-98.945563,362,1207.818493
-127.208943,363,1273.032409
-114.187758,363,1323.062968
-82.705661,363,1365.679934
-116.649628,363,1410.649667
-115.415731,363,1461.034962
-58.914007,363,1502.452689
-99.425505,363,1569.544686
-71.843856,363,1609.758265
-131.166515,363,1654.274759
-136.645053,363,1705.946351
-108.61264,362,1746.114242
-112.922655,363,1814.042186
-111.176904,363,1863.67377
-134.61732,363,1912.861882
-90.593979,363,1955.922284
-114.292316,363,2003.317436
-136.507915,363,2054.336717
-129.627366,363,2124.868405
-120.6643,363,2172.5301
-95.774222,363,2221.334281
-61.57977,363,2262.525892
-105.276107,363,2306.768858
-131.631473,363,2356.865006
-71.088159,363,2422.675756
-106.475018,363,2466.791637
-129.560963,363,2514.265735
-110.695621,363,2556.142673
-126.261375,363,2607.159695
-106.636274,363,2673.637799
-115.446739,363,2719.756163
-77.928087,363,2761.820721
-132.186088,363,2809.211298
-128.231955,363,2852.727719
-116.74731,363,2897.644692
-130.221761,363,2963.821359
-68.30509,362,3013.044274
-125.642955,363,3064.057153
-70.083032,363,3105.219681
-120.19217,363,3150.035609
-130.620927,363,3191.17148
-71.47218,363,3259.35912
-111.944451,363,3303.943018
-111.457037,363,3345.034701
-125.047564,363,3391.532084
-95.153621,363,3434.862942
-116.264045,363,3506.986778
-78.554259,363,3547.844599
-68.536401,363,3592.321932
-114.710409,363,3644.862172
-69.190284,362,3690.371699
-101.610029,363,3740.109223
-120.282414,363,3814.142327
-139.478451,363,3861.145458
-127.928156,363,3910.476691
-78.679542,363,3957.542668
-97.404163,363,3999.556181
-105.181248,362,4042.701583
-107.88218,363,4110.905977
-151.649398,363,4155.680654
-68.197945,363,4194.459311
-98.78767,363,4238.746978
-103.823737,363,4287.048895
-127.422138,363,4352.139065
-118.593155,363,4398.132548
-102.875206,363,4444.298292
-97.817158,363,4486.453828
-120.393246,363,4531.267742
-80.863878,363,4587.885037
-123.438634,363,4660.054564
-126.201608,363,4720.246714
-98.420763,363,4771.366789
-119.143689,363,4813.413486
-115.650676,363,4857.023512
-122.15107,363,4922.830406
-75.442219,362,4966.219663
-108.552162,363,5010.179183
-59.343008,362,5052.614269
-124.257001,363,5097.584677
-67.303996,363,5136.201564
-67.831352,362,5199.135016
-122.578959,363,5246.417977
-111.595917,363,5295.108118
-99.56999,363,5335.765518
-110.890042,363,5374.560886
-116.429298,363,5422.364569
-102.429852,363,5487.910548
-45.446359,362,5532.662495
-128.150094,363,5579.817774
-122.31593,363,5629.86838
-80.007824,362,5672.911431
-96.475479,363,5735.59487
-138.4307,363,5782.431244
-107.528035,363,5828.327105
-115.149761,363,5871.496741
-116.841817,363,5919.360301
-112.825013,363,5963.091085
-131.847487,363,6028.226782
-115.216597,363,6077.983855
-100.186338,363,6124.432022
-132.697222,363,6173.006676
-108.184401,363,6221.752448
-99.809051,363,6264.078511
-98.995283,363,6329.417028
-112.440041,363,6376.728777
-128.974697,363,6424.908392
-90.834744,363,6473.489388
-130.665257,363,6517.163267
-104.292501,363,6596.074685
-108.725328,363,6645.779188
-108.057223,363,6696.080229
-125.082528,363,6747.596088
-100.654534,363,6796.017411
-133.260955,363,6849.035594
-99.408113,363,6925.953378
-110.104028,363,6980.405751
-109.782224,363,7033.73147
-101.225925,363,7090.466207
-112.765178,363,7147.385586
-135.778997,363,7200.310012
-110.457255,363,7279.53036
-103.216966,363,7326.929442
-122.925048,363,7378.630858
-116.564364,363,7429.635434
-112.150561,363,7483.070024
-95.742549,363,7559.355248
-102.114423,363,7612.34701
-111.468165,363,7660.924665
-105.181759,363,7710.153472
-129.699674,363,7767.379251
-100.133898,363,7822.748564
-117.672977,363,7895.04381
-119.094944,363,7945.564528
-74.305898,363,7994.442361
-104.254437,363,8047.06703
-110.30745,363,8102.833654
-126.560261,363,8146.146435
-102.85254,363,8208.485172
-100.688509,363,8255.616467
-102.609382,363,8302.146627
-91.883771,363,8346.208776
-110.672692,363,8390.091985
-123.202516,363,8458.462333
-114.681069,363,8504.258813
-134.160012,363,8546.692644
-57.385583,363,8588.355642
-124.444012,363,8648.048873
-107.880157,363,8699.701708
-110.169055,363,8777.550999
-119.355919,363,8827.477043
-76.540006,363,8870.400526
-119.971611,363,8919.173063
-112.790166,363,8965.909637
-69.811709,363,9033.046515
-99.973249,363,9079.901832
-66.825114,363,9124.945787
-118.491151,363,9169.435213
-95.285917,363,9219.816558
-104.973269,363,9275.136603
-99.047139,363,9350.179397
-70.311654,363,9401.426865
-92.021572,363,9451.089264
-70.89109,363,9493.82882
-126.158965,363,9546.489496
-94.849592,363,9598.778605
-68.539829,363,9666.967115
-70.70923,363,9714.082307
-106.505724,363,9757.726652
-101.756546,363,9814.814022
-83.280253,363,9864.826541
-106.973583,363,9929.741941
-130.182479,363,9975.704121
-100.74008,363,10025.666237
-116.024105,363,10076.986229
-96.62828,363,10123.865781
-64.24863,363,10168.942416
-108.265532,363,10237.404501
-90.766905,363,10279.050063
-105.401218,363,10318.81841
-69.648032,363,10362.286695
-122.931497,363,10402.695388
-87.473626,363,10445.302281
-134.835489,363,10508.58594
-80.935734,363,10554.035537
-115.694694,363,10599.298421
-97.320878,363,10645.685851
-110.742318,363,10692.366201
-84.718004,363,10761.826987
-95.383993,363,10806.832987
-99.168096,363,10845.35556
-124.214939,363,10893.395997
-104.058491,363,10935.804255
-93.896945,363,10977.74581
-140.144003,363,11042.658822
-115.723863,363,11084.353472
-89.343674,362,11127.94878
-97.893649,363,11170.014915
-116.490973,363,11219.59971
-96.048069,363,11265.935637
-105.084159,363,11337.798651
-81.043081,362,11382.60707
-121.209927,363,11428.973601
-78.602441,363,11474.519929
-91.666799,363,11522.730818
-80.715432,362,11591.676511
-102.094855,363,11638.871137
-121.056415,363,11682.937701
-113.746236,363,11731.482425
-106.416035,363,11781.845834
-107.577716,363,11829.641776
-91.382778,363,11893.152576
-78.919445,363,11939.92027
-110.442763,363,11989.654831
-64.038646,363,12037.530737
-100.163756,363,12083.266257
-118.714872,363,12148.557434
-101.210336,363,12193.219728
-133.95587,363,12237.310099
-125.482419,363,12285.64202
-116.204477,363,12333.214244
-65.879641,363,12376.653717
-60.297765,363,12446.114045
-100.900951,363,12491.411091
-118.057582,363,12536.897842
-121.856432,363,12580.024028
-60.232206,363,12618.874545
-113.696286,363,12661.903536
-80.013538,362,12720.802808
-82.780792,363,12761.86128
-120.235222,363,12808.158014
-68.34336,363,12850.357872
-83.815905,363,12895.156063
-75.379377,363,12963.252619
-87.795173,363,13008.526385
-112.137433,363,13050.892766
-133.279759,363,13099.687151
-123.980329,363,13150.8904
-96.082672,362,13193.50938
-109.509709,363,13265.092202
-99.354111,363,13314.429761
-71.17046,363,13352.698828
-89.025673,363,13399.27312
-83.345595,363,13445.518099
-60.311458,363,13492.747355
-52.786692,362,13554.977627
-103.276505,363,13602.821923
-91.54539,363,13651.718213
-53.596629,363,13692.404971
-167.583273,363,13735.016446
-111.12327,363,13801.734874
-95.918642,363,13850.171014
-98.319025,363,13885.571682
-99.750167,363,13934.427456
-138.094376,363,13980.159469
-68.861912,363,14019.208351
-111.625218,363,14087.186915
-98.431553,363,14132.110747
-115.316164,363,14178.15481
-96.050621,363,14219.981462
-80.884623,363,14261.8455
-118.467899,363,14305.227245
-97.46327,363,14375.618969
-119.581317,363,14423.263743
-141.584496,363,14463.547398
-101.595652,363,14510.751138
-82.411728,363,14556.453628
-121.204158,363,14625.05142
-90.21031,363,14671.697241
-88.538069,363,14722.715131
-89.824822,362,14769.468861
-98.317081,363,14814.697167
-114.657897,363,14861.616042
-109.290043,363,14931.019686
-118.946145,363,14980.379075
-105.021149,363,15029.407174
-133.154496,363,15076.772571
-111.508884,363,15122.970906
-86.124445,363,15168.228583
-120.293868,363,15235.987605
-100.26557,363,15283.261437
-131.640954,363,15333.881313
-78.831412,363,15383.463071
-70.404381,363,15433.478581
-109.182858,363,15504.149678
-110.424601,363,15556.563611
-129.53816,363,15601.574998
-109.353113,363,15648.184412
-106.152212,363,15694.290729
-74.706741,363,15741.235482
-73.598327,363,15812.552737
-113.127037,363,15856.245208
-108.465281,363,15900.783801
-141.539216,363,15945.187483
-100.302054,363,15988.971239
-76.434976,363,16056.070334
-111.370192,363,16103.932015
-113.139235,363,16150.272836
-106.467019,363,16194.969702
-99.790953,363,16241.737441
-68.608767,362,16285.582089
-136.871866,363,16355.695624
-74.868569,363,16399.91967
-95.86717,363,16447.429802
-104.755083,363,16497.066034
-109.277059,363,16544.417766
-85.391525,363,16589.355877
-101.088114,363,16657.12464
-94.635941,363,16703.045894
-106.554844,363,16746.612605
-63.970001,363,16792.059496
-61.10925,363,16840.718105
-80.941668,363,16907.048739
-75.049362,363,16953.557034
-87.223075,363,17000.902385
-94.813756,363,17051.799948
-113.456996,363,17100.086598
-101.76577,363,17142.279245
-90.708717,363,17209.628476
-70.608137,362,17259.664201
-69.907723,363,17306.332509
-68.326714,363,17353.927839
-113.367896,363,17394.20692
-102.079865,363,17440.758477
-77.953225,363,17509.570402
-90.215582,363,17554.964437
-114.973287,363,17604.551727
-98.445093,363,17654.291022
-119.310748,363,17706.239655
