#{"t_start": 1786248552.3410864, "env_id": "None"}
r,l,t
-1764.485741,2883,507.315155
-1790.884531,2881,903.247555
-1777.648808,2883,1325.366282
-1740.567804,2883,1732.547342
-1741.672862,2883,2161.087268
-1731.20188,2883,2560.750699
-1751.181876,2883,2959.747463
-1769.28744,2883,3377.7351
-1725.819269,2883,3778.127572
-1783.583928,2883,4208.035825
-1780.810371,2883,4606.6489
-1726.990601,2883,5009.420932
-1738.759936,2883,5442.929172
-1735.453169,2883,5847.621776
-1735.531565,2883,6277.11145
-1750.049979,2882,6682.810026
-1730.086572,2883,7081.258215
-1726.751896,2883,7513.98351
-1726.377523,2883,7918.23386
-1711.285521,2883,8353.040255
-1692.799889,2883,8754.703499
-1705.176345,2883,9155.446355
-1723.826468,2883,9594.183273
-1698.05912,2883,10008.517432
-1690.356771,2882,10434.077404
-1710.175424,2883,10848.918713
-1674.196155,2883,11278.12427
-1722.098141,2883,11696.37393
-1694.68336,2883,12107.473828
-1716.012802,2883,12543.978763
-1679.138262,2883,12948.95655
-1723.852599,2883,13386.375025
-1718.699973,2883,13801.190799
-1702.727113,2883,14215.598638
-1751.725034,2883,14641.525356
-1696.961473,2883,15047.189239
-1695.812712,2882,15470.867032
-1706.224274,2883,15880.59224
-1757.932794,2883,16289.28692
-1722.221398,2883,16718.097186
-1738.074373,2883,17133.511729
-1698.862922,2883,17557.535365
-1733.693243,2883,17958.389636
-1715.635463,2883,18361.143766
-1706.736505,2882,18816.790993
-1714.951635,2883,19262.130888
-1715.204524,2883,19727.597777
-1704.790538,2883,20169.016365
-1722.029329,2883,20622.149878
-1736.545794,2883,21105.381634
-1708.103079,2883,21549.721712
-1755.290956,2883,22025.131045
-1708.144252,2883,22428.165934
-1743.886052,2883,22857.811027
-1755.511178,2883,23256.941853
-1729.156088,2883,23664.061807
-1720.467868,2883,24088.026165
-1769.049521,2883,24591.138406
-1725.348711,2883,25114.473334
-1739.319252,2883,25609.297575
-1767.034194,2883,26103.076207
-1733.475403,2883,26641.223481
-1731.464562,2883,27240.785832
-1748.553236,2883,27874.686281
-1734.791074,2883,28469.533839
-1737.431553,2883,29068.100289
-1727.761138,2883,29699.383519
-1713.863617,2883,35823.074564
-1739.702405,2883,36241.644685
-1786.512084,2883,36660.298719
-1726.854525,2883,37094.004385
-1757.855759,2883,37558.901113
-1729.641521,2883,37978.734457
-1751.643432,2883,38458.104674
-1758.399075,2883,38934.073741
-1755.046131,2883,39375.82432
-1759.744484,2883,39801.402512
-1743.606536,2883,40190.78349
-1748.584255,2883,40605.155719
-1750.951042,2883,40997.43128
-1758.221659,2883,41424.251582
-1755.981071,2883,41826.591491
-1801.30925,2883,42218.789762
-1758.123585,2883,42680.143915
-1734.359335,2883,43118.131594
-1787.985783,2883,43561.371016
-1776.430634,2883,43958.70388
