#{"t_start": 1785961242.5707283, "env_id": "None"}
r,l,t
-153.999189,363,105.887585
-139.187703,363,152.21218
-106.091858,363,192.653052
-127.17746,363,236.392688
-132.451964,363,285.809199
-127.301977,363,350.188465
-135.404325,362,398.724254
-138.970691,363,456.527858
-110.862385,363,506.882402
-122.396067,363,557.046318
-126.38421,363,606.860186
-136.440081,363,682.599154
-96.839076,363,728.7987
-124.496318,363,773.428571
-128.5196,363,817.438906
-135.415397,363,860.787849
-113.749524,363,928.228481
-147.275786,363,973.977217
-121.297301,363,1022.108496
-68.587139,363,1065.100102
-57.89756,363,1108.026462
-123.357618,363,1150.062034
-78.150749,363,1212.183868
-95.554544,363,1259.969683
-115.326947,363,1300.699432
-102.142813,362,1343.808882
-68.199038,363,1397.785501
-117.814289,363,1439.828301
-116.079625,363,1506.17592
-134.057461,363,1546.653883
-97.63662,363,1591.5523
-134.592386,363,1652.318226
-85.769199,363,1697.655703
-89.968522,363,1765.351149
-128.656877,363,1815.256956
-127.140923,363,1865.477049
-62.489903,362,1908.416317
-59.163586,362,1956.27391
-132.921955,363,2007.939214
-128.156235,363,2078.954087
-123.890184,363,2128.018621
-123.467778,363,2176.706487
-105.452661,363,2218.147668
-80.651385,363,2262.7381
-139.743885,363,2313.629711
-56.122738,363,2380.725345
-113.334238,363,2425.18851
-60.234561,363,2472.36733
-94.225206,363,2514.804319
-131.302816,363,2565.983662
-98.499399,363,2633.380236
-117.305267,363,2679.323633
-92.803329,363,2721.039286
-135.22031,363,2767.587113
-108.290763,363,2811.206706
-78.213539,363,2856.20352
-64.971354,363,2923.304256
-139.062734,363,2973.678697
-115.265556,363,3026.109142
-128.220425,363,3068.403296
-107.248871,363,3114.141336
-134.120628,363,3156.639344
-130.880116,363,3226.767829
-145.287366,363,3271.408785
-82.778899,363,3312.65002
-129.525999,363,3359.66798
-118.627895,362,3403.525427
-136.960808,363,3475.772446
-96.18423,363,3516.956111
-116.895357,363,3561.606185
-125.203242,363,3614.2964
-123.471889,363,3660.174846
-121.763903,363,3710.638124
-118.779074,363,3784.790156
-104.523304,363,3832.325104
-117.578581,363,3881.857041
-119.600989,363,3927.359049
-136.917142,363,3969.351107
-87.849546,363,4012.957161
-125.64466,363,4082.237017
-73.477528,363,4126.958429
-97.88437,362,4166.137198
-121.291734,363,4210.841115
-114.161775,363,4259.095357
-125.510315,363,4324.778761
-71.475018,362,4370.711782
-122.500441,363,4417.332306
-113.275645,363,4459.371887
-125.454366,363,4503.782583
-117.564954,363,4553.58339
-137.836519,363,4621.021455
-128.209742,363,4665.265158
-129.513776,363,4714.980071
-114.753232,363,4756.027041
-72.490543,363,4799.714693
-77.112701,363,4864.887648
-124.992783,363,4908.295466
-132.985182,363,4953.231126
-138.169056,363,4996.334399
-128.130699,363,5041.718159
-139.832019,363,5081.490556
-152.90548,363,5146.953536
-124.235272,363,5195.809016
-133.146294,363,5246.509823
-133.203484,363,5289.099726
-125.650888,363,5328.84938
-125.194225,363,5378.578428
-138.767762,363,5445.730608
-86.927163,363,5491.261055
-140.762544,363,5539.115187
-126.022989,363,5590.356863
-69.059778,363,5634.265807
-144.212786,363,5699.82407
-123.386524,363,5748.645011
-130.321637,363,5796.388092
-133.789202,363,5841.65842
-118.300745,363,5891.586137
-122.243217,363,5937.577797
-77.770907,363,6006.332255
-135.170012,363,6058.442077
-90.422292,363,6107.835324
-123.258387,363,6158.194086
-130.926015,363,6208.461501
-134.512691,363,6252.862403
-116.363484,363,6321.462242
-116.131738,363,6370.754245
-131.854459,363,6421.112473
-122.147841,363,6472.447213
-90.407702,363,6518.595106
-121.930311,363,6590.360856
-111.345968,363,6637.100237
-104.08114,363,6685.969994
-109.924568,363,6730.853242
-129.2694,363,6778.829258
-111.418148,363,6827.563112
-101.646561,363,6896.16514
-107.472795,363,6943.068234
-109.980951,363,6989.919862
-135.631146,363,7040.443504
-129.573631,363,7090.712586
-107.822326,363,7139.14452
-88.258396,363,7212.074835
-81.401673,363,7256.547764
-57.83605,363,7304.294948
-117.22953,363,7350.856502
-76.529151,363,7400.258527
-64.456542,363,7470.524556
-116.898756,363,7518.018641
-124.2291,363,7561.135621
-126.937482,362,7604.93752
-113.506251,363,7655.054323
-123.719045,363,7699.681736
-104.101023,363,7767.506923
-122.109702,363,7812.491437
-126.240775,363,7858.581712
-116.486915,363,7904.833104
-120.123613,363,7952.35447
-118.210906,363,8017.635454
-99.337683,363,8060.464161
-97.045508,363,8109.086221
-66.941494,363,8156.710202
-122.393536,363,8202.576556
-80.588406,363,8247.865425
-107.633297,363,8317.189646
-61.8377,363,8364.330086
-53.091398,363,8407.675809
-137.483695,363,8450.901051
-108.566983,363,8494.911199
-99.273026,363,8539.942179
-127.384956,363,8609.745028
-132.802468,363,8656.861273
-110.704698,363,8700.604944
-131.632231,363,8750.141761
-101.213591,363,8798.00774
-102.710214,363,8867.114129
-112.167191,363,8915.368104
-94.814525,363,8960.688932
-101.348791,363,9003.862431
-100.996835,363,9050.728689
-60.689168,363,9097.816904
-105.436742,363,9165.188721
-91.928181,363,9211.961486
-89.804652,363,9257.500568
-128.104666,363,9300.122258
-93.629329,363,9346.379146
-101.977671,363,9391.688652
-86.544576,363,9459.6735
-140.263074,363,9508.125703
-81.117367,363,9551.523607
-141.806039,363,9602.358897
-102.300997,363,9648.081196
-95.955685,363,9714.573246
-97.373975,363,9762.077717
-98.404059,363,9813.98544
-132.932469,363,9867.151941
-86.618159,363,9915.702919
-123.064146,363,9963.040674
-86.753703,363,10033.490166
-92.234989,363,10077.103763
-134.350806,363,10119.187606
-100.682036,363,10163.717019
-76.464981,363,10205.964193
-108.68622,363,10250.042199
-104.618233,363,10315.918876
-100.227764,363,10360.955127
-96.174824,363,10406.398991
-102.647313,363,10452.894783
-141.413795,363,10500.157809
-102.928284,363,10570.535364
-101.669869,363,10616.298122
-118.39809,363,10655.044271
-91.461808,363,10703.8449
-94.369427,363,10746.80506
-89.316064,363,10789.337593
-90.492224,362,10855.451361
-106.561244,363,10897.035316
-85.596326,363,10941.189702
-134.249128,363,10983.691195
-114.362535,363,11033.84064
-119.867774,363,11079.709342
-118.803569,363,11149.689721
-81.159816,363,11192.558491
-99.561463,363,11237.646299
-106.792341,363,11280.952506
-102.867945,363,11327.484825
-103.964881,363,11394.917811
-93.090672,363,11440.127729
-111.050759,363,11483.028342
-133.846623,363,11529.78685
-102.839459,363,11578.594974
-71.021482,363,11626.118384
-90.866491,363,11689.647485
-93.864187,363,11735.591197
-63.872736,362,11784.528526
-106.173611,363,11831.443607
-80.73943,363,11876.730678
-87.189824,363,11941.780801
-102.447945,363,11987.982531
-119.776242,363,12032.988407
-97.016052,363,12082.668684
-118.88801,363,12130.867576
-129.8446,363,12175.769522
-102.777855,363,12246.337724
-136.991327,363,12292.833682
-113.152606,363,12339.245197
-81.341731,363,12383.267605
-61.090374,363,12423.797356
-126.622282,363,12467.853051
-95.624354,363,12528.440924
-133.923369,363,12571.105484
-65.330495,363,12618.135057
-68.941573,363,12661.582533
-98.030218,363,12707.348375
-120.848366,363,12776.713089
-84.314247,363,12821.195312
-102.769189,363,12862.538047
-99.806689,363,12909.501314
-111.219147,363,12959.138009
-112.936496,363,13000.290838
-102.102859,363,13073.069249
-130.493494,363,13123.758984
-83.963355,363,13162.926233
-121.048643,363,13210.697198
-59.654162,363,13258.18768
-86.689075,363,13307.623135
-120.152501,363,13371.897253
-113.606486,363,13420.347268
-99.247442,363,13469.808049
-89.348018,363,13511.704054
-116.50562,363,13555.321808
-120.979776,363,13623.32336
-103.257551,363,13670.569145
-61.66173,363,13705.850688
-91.563479,363,13753.636656
-118.081005,363,13798.688749
-56.714845,363,13837.269922
-81.659183,363,13905.419831
-97.604492,363,13951.722636
-104.720654,363,13998.370928
-52.656924,363,14041.723712
-83.225054,363,14084.278103
-90.863813,363,14128.323057
-86.428091,363,14200.947366
-72.502555,363,14249.323584
-98.972939,363,14291.326493
-95.045707,363,14339.843218
-102.65016,363,14387.022331
-110.13426,363,14455.984644
-90.718299,363,14501.947833
-116.7521,363,14552.138173
-55.18572,363,14598.640764
-115.496248,363,14642.909876
-96.894197,363,14689.004157
-126.603931,363,14757.831526
-115.614323,363,14806.646651
-112.540355,363,14854.652634
-100.557542,363,14901.06265
-113.70367,363,14947.11459
-75.79,363,14992.009033
-84.459522,363,15059.537713
-104.244437,363,15106.509664
-98.510783,363,15156.060812
-104.241948,363,15205.242188
-104.036948,363,15254.184446
-93.071615,363,15323.538117
-98.108804,363,15373.524821
-94.359559,363,15416.170347
-68.719975,363,15460.802944
-78.400987,363,15505.151792
-126.664647,363,15550.315682
-93.388359,363,15620.000458
-110.797876,363,15662.345457
-100.630376,362,15705.046635
-88.635007,363,15747.438306
-117.795374,363,15789.606811
-132.028529,363,15855.079664
-94.063353,363,15901.307561
-63.67565,363,15945.699118
-107.314643,363,15988.545448
-83.70733,363,16033.587617
