#{"t_start": 1785767497.2250583, "env_id": "None"}
r,l,t
-192.677444,363,96.969804
-195.232219,363,141.355111
-115.608165,363,181.831858
-186.606089,363,226.201298
-208.336084,363,275.619866
-192.372228,363,347.301507
-188.034937,363,390.705899
-110.666409,363,435.579751
-197.608118,363,476.472353
-177.914584,363,521.764676
-198.329841,363,599.882437
-180.000336,363,666.60901
-190.529664,363,708.748594
-188.127134,363,751.622677
-133.67083,362,795.286272
-112.622007,363,839.901047
-195.323189,363,906.099123
-193.73524,363,955.841468
-195.453077,363,997.323222
-202.730952,363,1038.93982
-185.499193,363,1081.571167
-189.886107,363,1123.64898
-174.156572,363,1185.28639
-209.089788,363,1227.906692
-195.5446,363,1268.566202
-191.589405,363,1310.109563
-173.554727,363,1356.430915
-203.354136,363,1396.996783
-117.092097,363,1458.360592
-168.65109,363,1495.97734
-179.905696,363,1541.244174
-202.277383,363,1589.290248
-181.249799,363,1626.664814
-181.925287,363,1691.310134
-185.167643,363,1737.970231
-190.83196,363,1782.820149
-177.31222,363,1824.863199
-210.04392,363,1872.389424
-191.663812,363,1923.761291
-188.451769,363,1991.630317
-188.52845,363,2036.062423
-138.691888,363,2081.062431
-199.203258,363,2119.074732
-181.487535,363,2160.184231
-191.774613,363,2205.427921
-183.593621,363,2265.033172
-187.847832,363,2307.272903
-209.251741,363,2350.620272
-114.81147,363,2397.250619
-189.77045,363,2447.088211
-189.376696,363,2511.725762
-192.371111,363,2555.985349
-163.061568,363,2592.913847
-135.508781,363,2636.290375
-115.065111,363,2680.749063
-122.091799,363,2724.752593
-200.423678,363,2788.926099
-191.071126,363,2835.031168
-190.305287,363,2882.408131
-167.939209,363,2921.488705
-173.035384,363,2964.151985
-132.359525,363,3002.875098
-191.920711,363,3065.481872
-151.280174,363,3107.845584
-187.470664,363,3145.193101
-204.385111,363,3186.100492
-141.943976,363,3234.137018
-190.939754,363,3312.977428
-165.214412,363,3356.822824
-185.890015,363,3400.582797
-199.675838,363,3459.871196
-167.691828,363,3514.091602
-188.426262,363,3568.789246
-204.339862,363,3646.8918
-191.142009,363,3697.956087
-117.609869,362,3748.069938
-145.807646,363,3793.245769
-154.218401,363,3835.040631
-124.772062,363,3902.692739
-208.567669,363,3952.744878
-147.06603,363,3999.544894
-124.772884,363,4044.053838
-131.28858,362,4091.100701
-207.973017,363,4141.763378
-181.915014,363,4216.245214
-201.975442,363,4262.34642
-176.760902,363,4309.282317
-185.754408,363,4349.07592
-184.091303,363,4390.963013
-198.133695,363,4435.517035
-94.296869,362,4499.700941
-202.114451,363,4544.626255
-185.751387,363,4591.597784
-189.910244,363,4632.660979
-203.583739,363,4674.010912
-197.768017,363,4734.36113
-197.884478,363,4779.600973
-191.255513,363,4828.561107
-184.295487,363,4871.003991
-181.405043,363,4914.381179
-212.597218,363,4951.628129
-217.448346,363,5018.623893
-177.978501,363,5071.211382
-208.088224,363,5122.651254
-198.454067,363,5164.451031
-112.403258,362,5206.03452
-155.403551,363,5250.268764
-188.831245,363,5316.541399
-195.590722,363,5363.180795
-199.049132,363,5438.175308
-203.155638,363,5509.29182
-192.949386,363,5552.713741
-181.816342,363,5616.241679
-203.051831,363,5658.704288
-173.629367,363,5705.471614
-200.039533,363,5748.746148
-212.097568,363,5797.634189
-233.309826,363,5863.751003
-169.389929,363,5934.240613
-226.887706,363,5980.22137
-211.800055,363,6023.601278
-189.821517,363,6068.324214
-188.170171,363,6114.686835
-200.610482,363,6153.987698
-213.652572,363,6220.001768
-201.163589,363,6264.175807
-203.816727,363,6310.751709
-204.316496,363,6356.049371
-194.589256,363,6397.814496
-204.203335,363,6462.317197
-228.002878,363,6501.941676
-208.960026,363,6542.769045
-95.561827,363,6581.85067
-196.160286,363,6626.84286
-209.123623,363,6669.687205
-201.434095,363,6736.961233
-195.052041,363,6778.626423
-103.78545,363,6823.213762
-201.63806,363,6871.83082
-208.069934,363,6919.646028
-168.576898,363,6965.84309
-200.208798,363,7032.699891
-161.293697,363,7073.516814
-199.013724,363,7117.9083
-198.781438,363,7160.575095
-190.458481,363,7207.393868
-207.200867,363,7275.129447
-218.01315,363,7317.064761
-202.359729,363,7355.452143
-127.315246,363,7399.433857
-194.231891,363,7444.928926
-206.121664,363,7483.985102
-122.958932,363,7548.258673
-231.109638,363,7590.633201
-190.77012,363,7630.39421
-195.189509,363,7673.856402
-185.81547,363,7718.152077
-98.577756,363,7781.036066
-120.371609,363,7823.922175
-206.076143,363,7872.7049
-116.955861,363,7947.957747
-213.906158,363,8006.886364
-99.850198,363,8046.320589
-197.357172,363,8115.372449
-203.759747,363,8158.24878
-198.948869,363,8205.725337
-126.282175,363,8252.344226
-101.184166,363,8300.265918
-90.21889,362,8350.376918
-199.803219,363,8423.437247
-178.155932,363,8476.628407
-158.974613,363,8520.860532
-207.881611,363,8569.550324
-198.462217,363,8614.719432
-113.338611,362,8676.973376
-208.730334,363,8720.508418
-200.570435,363,8762.448245
-199.237832,363,8799.521978
-100.884501,363,8840.232258
-195.973521,363,8885.400289
-100.267689,362,8942.188269
-191.326843,363,8982.847234
-192.062807,363,9020.735641
-133.668559,363,9061.788095
-203.7256,363,9105.087276
