algorithm,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,cumulative_energy_joule,avg_distance_km,avg_load_balance_cv,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,num_server_boots,num_server_shutdowns,num_pod_creates,num_pod_deletes,num_requests_rejected_queue_full,num_requests_rejected_no_replica,avg_active_servers,num_scale_up,num_scale_down,num_turn_on,num_turn_off,total_requests,completed_requests
greedy,51.651566107160555,234.0048934930426,436.8144317580294,1701,4.982863168995518,36275964.60000021,16.575020096574747,0.5643759272994622,2.2660582131041225,2.7605193834624915,3.036189583285112,49,46,182,167,1103,14,1.147120055517002,141,58,46,48,34137,33020
voila,51.50043616513842,235.00443122557724,440.00416765457607,1625,4.760230834578317,32012973.70000022,20.558854344257952,0.290919312728492,2.349836020007577,2.950457656802172,3.2739005018947602,75,72,281,266,1033,14,2.128730048577377,249,156,72,73,34137,33090
hpa,52.71836474754796,244.00512167869192,445.0048575756767,1850,5.419339719366084,30778837.49999984,20.63361179213085,0.2490131035569251,2.3425430505011984,2.952490278715845,3.2739005018947602,6,3,258,243,1183,14,2.023594725884802,234,232,3,4,34137,32940
ppo,40.532827285907274,169.00483733513323,343.46481734611996,978,2.864926619210827,44969594.40000303,16.782999405270584,0.6440819137899406,2.295703342823167,2.7871036054522715,3.0388483865255536,7,2,86,60,668,14,3.731089521165857,68,41,4,3,34137,33455
