id,BTSID,StartTime,EndTime,Lat,Long,ServiceID,ServiceResource,ServiceExecutionTime,startSec,user_id,month,date,weekday,only_date
1,438,2014-06-14 00:00:03,2014-06-14 00:00:10,31.276317,121.524794,4,1.5,7,0,2542,201406,14,5,2014-06-14
2,818,2014-06-14 00:00:04,2014-06-14 00:00:19,31.25901,121.65797,6,2.0,15,1,231,201406,14,5,2014-06-14
3,357,2014-06-14 00:00:06,2014-06-14 00:00:07,31.194194,121.456589,1,0.2,1,3,7925,201406,14,5,2014-06-14
4,1065,2014-06-14 00:00:08,2014-06-14 00:00:18,31.065206,121.803371,5,2.0,10,5,4494,201406,14,5,2014-06-14
5,1365,2014-06-14 00:00:11,2014-06-14 00:00:13,31.253657,121.443859,2,0.5,2,8,4499,201406,14,5,2014-06-14
6,237,2014-06-14 00:00:22,2014-06-14 00:00:29,31.211485,121.403238,4,1.5,7,19,2259,201406,14,5,2014-06-14
7,639,2014-06-14 00:00:22,2014-06-14 00:02:52,31.459469,121.412299,15,20.0,150,19,1478,201406,14,5,2014-06-14
8,536,2014-06-14 00:00:27,2014-06-14 00:00:52,31.324905,121.29416,8,7.0,25,24,1524,201406,14,5,2014-06-14
9,673,2014-06-14 00:00:29,2014-06-14 00:00:44,31.24143,121.475172,6,2.0,15,26,65,201406,14,5,2014-06-14
10,75,2014-06-14 00:00:44,2014-06-14 00:00:46,31.184888,121.510295,2,0.5,2,41,1995,201406,14,5,2014-06-14
11,264,2014-06-14 00:00:44,2014-06-14 00:01:09,31.324464,121.387532,7,4.0,25,41,2426,201406,14,5,2014-06-14
12,1218,2014-06-14 00:00:50,2014-06-14 00:00:51,30.91796,121.543057,1,0.2,1,47,7997,201406,14,5,2014-06-14
13,220,2014-06-14 00:00:52,2014-06-14 00:00:54,31.160079,121.37079,2,0.5,2,49,7317,201406,14,5,2014-06-14
14,264,2014-06-14 00:00:57,2014-06-14 00:01:22,31.324464,121.387532,7,4.0,25,54,2426,201406,14,5,2014-06-14
15,941,2014-06-14 00:01:02,2014-06-14 00:01:42,31.243446,121.675041,10,10.0,40,59,2902,201406,14,5,2014-06-14
16,1012,2014-06-14 00:01:05,2014-06-14 00:01:20,31.17762,121.511042,6,2.0,15,62,7630,201406,14,5,2014-06-14
17,77,2014-06-14 00:01:08,2014-06-14 00:01:33,31.19143,121.411411,8,7.0,25,65,3539,201406,14,5,2014-06-14
18,821,2014-06-14 00:01:10,2014-06-14 00:01:17,31.019533,121.388705,4,1.5,7,67,701,201406,14,5,2014-06-14
19,121,2014-06-14 00:01:15,2014-06-14 00:01:16,31.254912,121.371838,1,0.2,1,72,1302,201406,14,5,2014-06-14
20,821,2014-06-14 00:01:17,2014-06-14 00:02:07,31.019533,121.388705,11,11.0,50,74,701,201406,14,5,2014-06-14
21,167,2014-06-14 00:01:19,2014-06-14 00:01:23,31.108567,121.766873,3,0.8,4,76,4668,201406,14,5,2014-06-14
22,748,2014-06-14 00:01:25,2014-06-14 00:01:26,31.312825,121.491112,1,0.2,1,82,2414,201406,14,5,2014-06-14
23,821,2014-06-14 00:01:31,2014-06-14 00:01:32,31.019533,121.388705,1,0.2,1,88,701,201406,14,5,2014-06-14
24,387,2014-06-14 00:01:34,2014-06-14 00:01:38,31.306089,121.474725,3,0.8,4,91,5203,201406,14,5,2014-06-14
25,429,2014-06-14 00:01:38,2014-06-14 00:02:03,31.311942,121.54204,7,4.0,25,95,280,201406,14,5,2014-06-14
26,542,2014-06-14 00:01:38,2014-06-14 00:02:28,31.384186,121.484871,11,11.0,50,95,5843,201406,14,5,2014-06-14
27,1271,2014-06-14 00:01:41,2014-06-14 00:01:43,31.200432,121.447381,2,0.5,2,98,3812,201406,14,5,2014-06-14
28,679,2014-06-14 00:01:46,2014-06-14 00:02:11,31.299261,121.578516,8,7.0,25,103,2128,201406,14,5,2014-06-14
29,529,2014-06-14 00:01:49,2014-06-14 00:02:39,31.159304,121.358718,11,11.0,50,106,6644,201406,14,5,2014-06-14
30,370,2014-06-14 00:01:51,2014-06-14 00:01:58,31.230287,121.557116,4,1.5,7,108,441,201406,14,5,2014-06-14
31,1240,2014-06-14 00:01:51,2014-06-14 00:02:01,31.162463,121.364262,5,2.0,10,108,6858,201406,14,5,2014-06-14
32,782,2014-06-14 00:01:51,2014-06-14 00:02:41,31.273276,121.1303,11,11.0,50,108,3695,201406,14,5,2014-06-14
33,821,2014-06-14 00:01:55,2014-06-14 00:02:10,31.019533,121.388705,6,2.0,15,112,701,201406,14,5,2014-06-14
34,628,2014-06-14 00:01:56,2014-06-14 00:02:06,31.248146,121.441241,5,2.0,10,113,2174,201406,14,5,2014-06-14
35,142,2014-06-14 00:01:57,2014-06-14 00:02:47,31.177646,121.555355,11,11.0,50,114,2006,201406,14,5,2014-06-14
36,1240,2014-06-14 00:02:00,2014-06-14 00:02:50,31.162463,121.364262,11,11.0,50,117,6853,201406,14,5,2014-06-14
37,422,2014-06-14 00:02:04,2014-06-14 00:02:11,31.009423,121.245898,4,1.5,7,121,7701,201406,14,5,2014-06-14
