id,BTSID,StartTime,EndTime,Lat,Long,ServiceID,ServiceResource,ServiceExecutionTime,startSec,user_id,month,date,weekday,only_date
47,744,2014-06-28 00:02:07,2014-06-28 00:02:14,31.085146,121.589124,4,1.5,7,124,1875,201406,28,5,2014-06-28
48,116,2014-06-28 00:02:07,2014-06-28 00:02:08,31.36124,121.451839,1,0.2,1,124,7868,201406,28,5,2014-06-28
49,562,2014-06-28 00:02:15,2014-06-28 00:02:17,31.254111,121.408424,2,0.5,2,132,3845,201406,28,5,2014-06-28
50,774,2014-06-28 00:02:16,2014-06-28 00:03:06,31.304918,121.497837,11,11.0,50,133,348,201406,28,5,2014-06-28
51,562,2014-06-28 00:02:18,2014-06-28 00:02:28,31.254111,121.408424,5,2.0,10,135,3845,201406,28,5,2014-06-28
52,1058,2014-06-28 00:02:18,2014-06-28 00:03:18,31.197573,121.37641,12,12.0,60,135,1534,201406,28,5,2014-06-28
53,801,2014-06-28 00:02:25,2014-06-28 00:02:35,31.198836,121.215066,5,2.0,10,142,1479,201406,28,5,2014-06-28
54,53,2014-06-28 00:02:27,2014-06-28 00:02:29,31.082701,121.448694,2,0.5,2,144,1186,201406,28,5,2014-06-28
55,272,2014-06-28 00:02:31,2014-06-28 00:02:46,31.252105,121.56398,6,2.0,15,148,2011,201406,28,5,2014-06-28
56,627,2014-06-28 00:02:32,2014-06-28 00:02:39,31.11674,121.586334,4,1.5,7,149,2824,201406,28,5,2014-06-28
57,720,2014-06-28 00:02:35,2014-06-28 00:02:36,31.183323,121.447822,1,0.2,1,152,2225,201406,28,5,2014-06-28
58,375,2014-06-28 00:02:37,2014-06-28 00:02:39,31.102445,121.413911,2,0.5,2,154,731,201406,28,5,2014-06-28
59,321,2014-06-28 00:02:43,2014-06-28 00:02:47,31.192915,121.682688,3,0.8,4,160,2869,201406,28,5,2014-06-28
60,550,2014-06-28 00:02:45,2014-06-28 00:02:46,31.111821,121.385462,1,0.2,1,162,3088,201406,28,5,2014-06-28
61,564,2014-06-28 00:02:50,2014-06-28 00:04:00,31.209644,121.56447,13,14.0,70,167,8012,201406,28,5,2014-06-28
62,505,2014-06-28 00:02:56,2014-06-28 00:02:58,31.151539,121.41109,2,0.5,2,173,7636,201406,28,5,2014-06-28
63,419,2014-06-28 00:02:57,2014-06-28 00:02:59,31.197909,121.426542,2,0.5,2,174,744,201406,28,5,2014-06-28
64,524,2014-06-28 00:03:01,2014-06-28 00:03:08,31.29092,121.359453,4,1.5,7,178,1640,201406,28,5,2014-06-28
65,688,2014-06-28 00:03:02,2014-06-28 00:03:32,31.32719,121.53013,9,10.0,30,179,8201,201406,28,5,2014-06-28
66,829,2014-06-28 00:03:03,2014-06-28 00:03:13,31.157241,121.418919,5,2.0,10,180,2331,201406,28,5,2014-06-28
67,708,2014-06-28 00:03:05,2014-06-28 00:03:30,31.204179,121.538588,7,4.0,25,182,1903,201406,28,5,2014-06-28
68,122,2014-06-28 00:03:10,2014-06-28 00:03:20,31.273767,121.222048,5,2.0,10,187,7812,201406,28,5,2014-06-28
69,36,2014-06-28 00:03:12,2014-06-28 00:04:42,31.255582,121.363523,14,15.0,90,189,7650,201406,28,5,2014-06-28
70,1200,2014-06-28 00:03:18,2014-06-28 00:03:20,31.415226,121.349387,2,0.5,2,195,2673,201406,28,5,2014-06-28
71,141,2014-06-28 00:03:21,2014-06-28 00:03:25,31.246106,121.443663,3,0.8,4,198,1613,201406,28,5,2014-06-28
72,808,2014-06-28 00:03:22,2014-06-28 00:03:52,31.26748,121.57859,9,10.0,30,199,897,201406,28,5,2014-06-28
73,812,2014-06-28 00:03:28,2014-06-28 00:04:18,30.947965,121.640593,11,11.0,50,205,2788,201406,28,5,2014-06-28
74,429,2014-06-28 00:03:31,2014-06-28 00:03:38,31.311942,121.54204,4,1.5,7,208,3837,201406,28,5,2014-06-28
75,5,2014-06-28 00:03:36,2014-06-28 00:04:26,31.250826,121.578689,11,11.0,50,213,8375,201406,28,5,2014-06-28
76,1454,2014-06-28 00:03:37,2014-06-28 00:03:47,30.935874,121.692581,5,2.0,10,214,4662,201406,28,5,2014-06-28
77,303,2014-06-28 00:03:39,2014-06-28 00:03:40,31.096325,121.341209,1,0.2,1,216,5745,201406,28,5,2014-06-28
78,784,2014-06-28 00:03:40,2014-06-28 00:04:05,31.230201,121.308739,8,7.0,25,217,1509,201406,28,5,2014-06-28
79,726,2014-06-28 00:03:51,2014-06-28 00:04:16,31.120822,121.29001,7,4.0,25,228,670,201406,28,5,2014-06-28
80,181,2014-06-28 00:03:57,2014-06-28 00:04:22,31.247155,121.23112,7,4.0,25,234,1703,201406,28,5,2014-06-28
81,1394,2014-06-28 00:04:02,2014-06-28 00:04:27,31.469563,121.384552,7,4.0,25,239,1691,201406,28,5,2014-06-28
82,791,2014-06-28 00:04:05,2014-06-28 00:04:12,31.213728,121.386102,4,1.5,7,242,7928,201406,28,5,2014-06-28
83,880,2014-06-28 00:04:12,2014-06-28 00:04:13,31.138371,121.416975,1,0.2,1,249,7672,201406,28,5,2014-06-28
84,345,2014-06-28 00:04:16,2014-06-28 00:04:20,31.019246,121.250749,3,0.8,4,253,969,201406,28,5,2014-06-28
85,1344,2014-06-28 00:04:21,2014-06-28 00:04:36,31.041182,121.739041,6,2.0,15,258,2650,201406,28,5,2014-06-28
86,47,2014-06-28 00:04:23,2014-06-28 00:04:24,31.140384,121.620758,1,0.2,1,260,2898,201406,28,5,2014-06-28
87,601,2014-06-28 00:04:33,2014-06-28 00:04:34,31.281813,121.354285,1,0.2,1,270,3610,201406,28,5,2014-06-28
88,258,2014-06-28 00:04:37,2014-06-28 00:04:38,31.270626,121.5908,1,0.2,1,274,73,201406,28,5,2014-06-28
89,314,2014-06-28 00:04:39,2014-06-28 00:05:04,31.233973,121.41641,7,4.0,25,276,890,201406,28,5,2014-06-28
90,8,2014-06-28 00:04:46,2014-06-28 00:04:48,31.355465,121.412867,2,0.5,2,283,504,201406,28,5,2014-06-28
91,662,2014-06-28 00:05:01,2014-06-28 00:05:41,31.22135,121.391319,10,10.0,40,298,318,201406,28,5,2014-06-28
92,919,2014-06-28 00:05:04,2014-06-28 00:05:54,31.120753,121.381579,11,11.0,50,301,493,201406,28,5,2014-06-28
93,724,2014-06-28 00:05:05,2014-06-28 00:05:45,31.274417,121.257132,10,10.0,40,302,915,201406,28,5,2014-06-28
94,487,2014-06-28 00:05:08,2014-06-28 00:05:38,31.116903,121.595022,9,10.0,30,305,8020,201406,28,5,2014-06-28
95,243,2014-06-28 00:05:10,2014-06-28 00:05:50,31.286022,121.497436,10,10.0,40,307,1378,201406,28,5,2014-06-28
96,435,2014-06-28 00:05:13,2014-06-28 00:05:38,31.200882,121.446511,8,7.0,25,310,1376,201406,28,5,2014-06-28
97,1287,2014-06-28 00:05:16,2014-06-28 00:05:18,31.318438,121.497035,2,0.5,2,313,498,201406,28,5,2014-06-28
98,501,2014-06-28 00:05:23,2014-06-28 00:05:30,31.134548,121.39095,4,1.5,7,320,2342,201406,28,5,2014-06-28
99,1319,2014-06-28 00:05:26,2014-06-28 00:05:30,30.891109,121.903749,3,0.8,4,323,3857,201406,28,5,2014-06-28
100,405,2014-06-28 00:05:28,2014-06-28 00:05:53,31.120602,121.581473,8,7.0,25,325,3540,201406,28,5,2014-06-28
101,53,2014-06-28 00:05:28,2014-06-28 00:05:29,31.082701,121.448694,1,0.2,1,325,587,201406,28,5,2014-06-28
102,720,2014-06-28 00:05:33,2014-06-28 00:05:35,31.183323,121.447822,2,0.5,2,330,2225,201406,28,5,2014-06-28
103,540,2014-06-28 00:05:33,2014-06-28 00:05:48,31.020065,121.23311,6,2.0,15,330,788,201406,28,5,2014-06-28
104,786,2014-06-28 00:05:34,2014-06-28 00:06:24,31.240478,121.526884,11,11.0,50,331,17,201406,28,5,2014-06-28
105,105,2014-06-28 00:05:47,2014-06-28 00:05:51,31.114038,121.415096,3,0.8,4,344,860,201406,28,5,2014-06-28
106,519,2014-06-28 00:05:49,2014-06-28 00:05:59,31.220434,121.408625,5,2.0,10,346,5971,201406,28,5,2014-06-28
107,1319,2014-06-28 00:05:53,2014-06-28 00:05:57,30.891109,121.903749,3,0.8,4,350,3857,201406,28,5,2014-06-28
108,292,2014-06-28 00:05:56,2014-06-28 00:07:06,31.104981,121.360938,13,14.0,70,353,499,201406,28,5,2014-06-28
109,996,2014-06-28 00:06:05,2014-06-28 00:06:07,31.22255,121.440445,2,0.5,2,362,7933,201406,28,5,2014-06-28
110,311,2014-06-28 00:06:15,2014-06-28 00:06:17,31.142941,121.443942,2,0.5,2,372,958,201406,28,5,2014-06-28
111,330,2014-06-28 00:06:15,2014-06-28 00:06:17,31.131231,121.398758,2,0.5,2,372,569,201406,28,5,2014-06-28
112,403,2014-06-28 00:06:18,2014-06-28 00:06:19,31.157536,121.203337,1,0.2,1,375,549,201406,28,5,2014-06-28
113,290,2014-06-28 00:06:21,2014-06-28 00:06:25,31.137509,121.40768,3,0.8,4,378,339,201406,28,5,2014-06-28
114,533,2014-06-28 00:06:21,2014-06-28 00:06:46,31.248587,121.277434,7,4.0,25,378,3713,201406,28,5,2014-06-28
115,86,2014-06-28 00:06:28,2014-06-28 00:07:18,31.236856,121.40554,11,11.0,50,385,2365,201406,28,5,2014-06-28
116,340,2014-06-28 00:06:32,2014-06-28 00:06:57,31.267266,121.385292,7,4.0,25,389,1683,201406,28,5,2014-06-28
117,615,2014-06-28 00:06:34,2014-06-28 00:06:59,31.181485,121.520026,8,7.0,25,391,8486,201406,28,5,2014-06-28
118,332,2014-06-28 00:06:34,2014-06-28 00:06:36,31.218201,121.487151,2,0.5,2,391,412,201406,28,5,2014-06-28
119,457,2014-06-28 00:06:35,2014-06-28 00:07:05,31.211107,121.59082,9,10.0,30,392,1997,201406,28,5,2014-06-28
120,874,2014-06-28 00:06:47,2014-06-28 00:06:49,31.460409,121.401649,2,0.5,2,404,1340,201406,28,5,2014-06-28
121,80,2014-06-28 00:06:47,2014-06-28 00:06:57,31.183857,121.637321,5,2.0,10,404,2085,201406,28,5,2014-06-28
122,615,2014-06-28 00:06:49,2014-06-28 00:07:49,31.181485,121.520026,12,12.0,60,406,8486,201406,28,5,2014-06-28
123,1463,2014-06-28 00:06:58,2014-06-28 00:07:02,31.292718,121.410291,3,0.8,4,415,1458,201406,28,5,2014-06-28
124,434,2014-06-28 00:07:08,2014-06-28 00:07:23,31.164195,121.330502,6,2.0,15,425,4639,201406,28,5,2014-06-28
125,287,2014-06-28 00:07:21,2014-06-28 00:07:23,30.723654,121.330778,2,0.5,2,438,1237,201406,28,5,2014-06-28
126,461,2014-06-28 00:07:30,2014-06-28 00:10:00,31.25393,121.455087,15,20.0,150,447,2452,201406,28,5,2014-06-28
127,514,2014-06-28 00:07:32,2014-06-28 00:08:12,31.236728,121.42407,10,10.0,40,449,2247,201406,28,5,2014-06-28
128,1388,2014-06-28 00:07:34,2014-06-28 00:07:35,30.9269,121.467678,1,0.2,1,451,2695,201406,28,5,2014-06-28
129,181,2014-06-28 00:07:34,2014-06-28 00:07:41,31.247155,121.23112,4,1.5,7,451,1703,201406,28,5,2014-06-28
130,262,2014-06-28 00:07:44,2014-06-28 00:07:45,31.215428,121.660427,1,0.2,1,461,2026,201406,28,5,2014-06-28
131,368,2014-06-28 00:07:53,2014-06-28 00:07:57,31.095884,121.350551,3,0.8,4,470,7732,201406,28,5,2014-06-28
132,461,2014-06-28 00:07:53,2014-06-28 00:08:00,31.25393,121.455087,4,1.5,7,470,2452,201406,28,5,2014-06-28
133,1232,2014-06-28 00:08:04,2014-06-28 00:08:19,31.412982,121.496282,6,2.0,15,481,1573,201406,28,5,2014-06-28
134,345,2014-06-28 00:08:05,2014-06-28 00:08:06,31.019246,121.250749,1,0.2,1,482,969,201406,28,5,2014-06-28
135,627,2014-06-28 00:08:20,2014-06-28 00:09:10,31.11674,121.586334,11,11.0,50,497,2825,201406,28,5,2014-06-28
136,1319,2014-06-28 00:08:41,2014-06-28 00:09:21,30.891109,121.903749,10,10.0,40,518,3857,201406,28,5,2014-06-28
137,1319,2014-06-28 00:08:41,2014-06-28 00:09:41,30.891109,121.903749,12,12.0,60,518,3857,201406,28,5,2014-06-28
138,287,2014-06-28 00:08:41,2014-06-28 00:09:41,30.723654,121.330778,12,12.0,60,518,1237,201406,28,5,2014-06-28
139,418,2014-06-28 00:08:45,2014-06-28 00:10:15,31.015959,121.227509,14,15.0,90,522,3095,201406,28,5,2014-06-28
140,1463,2014-06-28 00:08:53,2014-06-28 00:09:03,31.292718,121.410291,5,2.0,10,530,1314,201406,28,5,2014-06-28
141,323,2014-06-28 00:08:58,2014-06-28 00:09:23,31.121932,121.33481,8,7.0,25,535,3124,201406,28,5,2014-06-28
142,61,2014-06-28 00:08:59,2014-06-28 00:09:03,31.242627,121.730079,3,0.8,4,536,2948,201406,28,5,2014-06-28
143,794,2014-06-28 00:09:02,2014-06-28 00:09:06,31.242365,121.503571,3,0.8,4,539,8304,201406,28,5,2014-06-28
144,368,2014-06-28 00:09:12,2014-06-28 00:09:37,31.095884,121.350551,7,4.0,25,549,862,201406,28,5,2014-06-28
145,1110,2014-06-28 00:09:12,2014-06-28 00:10:42,31.410741,121.442349,14,15.0,90,549,1719,201406,28,5,2014-06-28
146,541,2014-06-28 00:09:12,2014-06-28 00:09:37,31.015452,121.154814,8,7.0,25,549,841,201406,28,5,2014-06-28
147,509,2014-06-28 00:09:24,2014-06-28 00:09:49,31.213015,121.547755,8,7.0,25,561,1886,201406,28,5,2014-06-28
148,806,2014-06-28 00:09:25,2014-06-28 00:09:32,31.257553,121.311711,4,1.5,7,562,1698,201406,28,5,2014-06-28
149,169,2014-06-28 00:09:27,2014-06-28 00:09:52,30.991472,121.430726,8,7.0,25,564,3000,201406,28,5,2014-06-28
150,303,2014-06-28 00:09:32,2014-06-28 00:09:34,31.096325,121.341209,2,0.5,2,569,7715,201406,28,5,2014-06-28
151,843,2014-06-28 00:09:33,2014-06-28 00:11:03,31.425786,121.422506,14,15.0,90,570,1478,201406,28,5,2014-06-28
152,27,2014-06-28 00:09:33,2014-06-28 00:09:37,31.113744,121.341878,3,0.8,4,570,873,201406,28,5,2014-06-28
153,441,2014-06-28 00:09:35,2014-06-28 00:09:37,31.25007,121.546845,2,0.5,2,572,2046,201406,28,5,2014-06-28
154,327,2014-06-28 00:09:56,2014-06-28 00:10:00,31.206194,121.456569,3,0.8,4,593,74,201406,28,5,2014-06-28
155,48,2014-06-28 00:09:57,2014-06-28 00:09:59,34.638922,119.467017,2,0.5,2,594,208,201406,28,5,2014-06-28
156,200,2014-06-28 00:10:00,2014-06-28 00:10:04,31.343106,121.455682,3,0.8,4,597,1319,201406,28,5,2014-06-28
157,828,2014-06-28 00:10:01,2014-06-28 00:10:03,31.059755,121.389723,2,0.5,2,598,966,201406,28,5,2014-06-28
158,13,2014-06-28 00:10:04,2014-06-28 00:12:34,31.254534,121.34772,15,20.0,150,601,2388,201406,28,5,2014-06-28
159,330,2014-06-28 00:10:05,2014-06-28 00:11:35,31.131231,121.398758,14,15.0,90,602,3083,201406,28,5,2014-06-28
160,27,2014-06-28 00:10:06,2014-06-28 00:10:36,31.113744,121.341878,9,10.0,30,603,873,201406,28,5,2014-06-28
161,676,2014-06-28 00:10:08,2014-06-28 00:10:18,31.318369,121.407014,5,2.0,10,605,1401,201406,28,5,2014-06-28
162,415,2014-06-28 00:10:12,2014-06-28 00:10:27,31.265,121.48958,6,2.0,15,609,7978,201406,28,5,2014-06-28
163,741,2014-06-28 00:10:13,2014-06-28 00:10:17,31.225831,121.412695,3,0.8,4,610,1447,201406,28,5,2014-06-28
164,430,2014-06-28 00:10:23,2014-06-28 00:11:53,31.217372,121.460724,14,15.0,90,620,3834,201406,28,5,2014-06-28
165,347,2014-06-28 00:10:26,2014-06-28 00:10:33,31.13107,121.298444,4,1.5,7,623,3156,201406,28,5,2014-06-28
166,55,2014-06-28 00:10:28,2014-06-28 00:10:30,31.420016,121.44113,2,0.5,2,625,1151,201406,28,5,2014-06-28
167,1287,2014-06-28 00:10:29,2014-06-28 00:11:19,31.318438,121.497035,11,11.0,50,626,1492,201406,28,5,2014-06-28
168,569,2014-06-28 00:10:37,2014-06-28 00:10:52,31.05799,121.626154,6,2.0,15,634,2859,201406,28,5,2014-06-28
169,1185,2014-06-28 00:10:43,2014-06-28 00:10:50,31.195613,121.40425,4,1.5,7,640,3176,201406,28,5,2014-06-28
170,1071,2014-06-28 00:10:51,2014-06-28 00:11:21,31.247009,121.47942,9,10.0,30,648,2576,201406,28,5,2014-06-28
171,1287,2014-06-28 00:10:51,2014-06-28 00:11:16,31.318438,121.497035,8,7.0,25,648,1492,201406,28,5,2014-06-28
172,858,2014-06-28 00:10:57,2014-06-28 00:11:07,31.069757,121.399847,5,2.0,10,654,5896,201406,28,5,2014-06-28
173,736,2014-06-28 00:11:03,2014-06-28 00:11:43,31.156874,121.348458,10,10.0,40,660,2131,201406,28,5,2014-06-28
174,258,2014-06-28 00:11:13,2014-06-28 00:11:43,31.270626,121.5908,9,10.0,30,670,2132,201406,28,5,2014-06-28
175,274,2014-06-28 00:11:15,2014-06-28 00:11:17,31.030356,121.535809,2,0.5,2,672,2737,201406,28,5,2014-06-28
176,943,2014-06-28 00:11:18,2014-06-28 00:11:48,31.116535,121.678055,9,10.0,30,675,4294,201406,28,5,2014-06-28
177,274,2014-06-28 00:11:21,2014-06-28 00:12:01,31.030356,121.535809,10,10.0,40,678,2737,201406,28,5,2014-06-28
178,709,2014-06-28 00:11:25,2014-06-28 00:12:25,31.191847,121.381117,12,12.0,60,682,2199,201406,28,5,2014-06-28
179,264,2014-06-28 00:11:29,2014-06-28 00:11:30,31.324464,121.387532,1,0.2,1,686,224,201406,28,5,2014-06-28
180,45,2014-06-28 00:11:33,2014-06-28 00:12:33,31.116021,121.287621,12,12.0,60,690,903,201406,28,5,2014-06-28
181,978,2014-06-28 00:11:37,2014-06-28 00:12:37,31.459342,121.319364,12,12.0,60,694,7724,201406,28,5,2014-06-28
182,507,2014-06-28 00:11:39,2014-06-28 00:11:40,31.132785,121.413457,1,0.2,1,696,755,201406,28,5,2014-06-28
183,57,2014-06-28 00:11:40,2014-06-28 00:11:42,31.124664,121.323455,2,0.5,2,697,630,201406,28,5,2014-06-28
184,330,2014-06-28 00:11:44,2014-06-28 00:12:54,31.131231,121.398758,13,14.0,70,701,3083,201406,28,5,2014-06-28
185,251,2014-06-28 00:11:55,2014-06-28 00:11:56,31.326648,121.304442,1,0.2,1,712,1813,201406,28,5,2014-06-28
186,1232,2014-06-28 00:11:58,2014-06-28 00:12:38,31.412982,121.496282,10,10.0,40,715,1563,201406,28,5,2014-06-28
187,113,2014-06-28 00:12:05,2014-06-28 00:12:06,31.32712,121.254377,1,0.2,1,722,7684,201406,28,5,2014-06-28
