id,BTSID,StartTime,EndTime,Lat,Long,ServiceID,ServiceResource,ServiceExecutionTime,startSec,user_id,month,date,weekday,only_date
1,169,2014-06-21 00:00:06,2014-06-21 00:00:07,30.991472,121.430726,1,0.2,1,0,613,201406,21,5,2014-06-21
2,52,2014-06-21 00:00:07,2014-06-21 00:00:32,30.808567,121.29074,7,4.0,25,1,1280,201406,21,5,2014-06-21
3,878,2014-06-21 00:00:08,2014-06-21 00:00:23,31.081475,121.523285,6,2.0,15,2,2922,201406,21,5,2014-06-21
4,223,2014-06-21 00:00:14,2014-06-21 00:00:16,31.202075,121.187355,2,0.5,2,8,975,201406,21,5,2014-06-21
5,260,2014-06-21 00:00:24,2014-06-21 00:00:25,31.355737,121.403678,1,0.2,1,18,1391,201406,21,5,2014-06-21
6,927,2014-06-21 00:00:24,2014-06-21 00:00:31,31.106759,121.398956,4,1.5,7,18,1136,201406,21,5,2014-06-21
7,482,2014-06-21 00:00:26,2014-06-21 00:01:36,31.155384,121.771585,13,14.0,70,20,2944,201406,21,5,2014-06-21
8,927,2014-06-21 00:00:27,2014-06-21 00:00:29,31.106759,121.398956,2,0.5,2,21,1136,201406,21,5,2014-06-21
9,163,2014-06-21 00:00:37,2014-06-21 00:00:47,31.203978,121.423912,5,2.0,10,31,4076,201406,21,5,2014-06-21
10,748,2014-06-21 00:00:38,2014-06-21 00:00:42,31.312825,121.491112,3,0.8,4,32,144,201406,21,5,2014-06-21
11,375,2014-06-21 00:00:41,2014-06-21 00:00:43,31.102445,121.413911,2,0.5,2,35,586,201406,21,5,2014-06-21
12,280,2014-06-21 00:00:44,2014-06-21 00:00:45,31.268894,121.692432,1,0.2,1,38,1252,201406,21,5,2014-06-21
13,1201,2014-06-21 00:00:44,2014-06-21 00:01:24,31.284675,121.516006,10,10.0,40,38,2143,201406,21,5,2014-06-21
14,325,2014-06-21 00:00:45,2014-06-21 00:02:15,31.06623,121.321933,14,15.0,90,39,2738,201406,21,5,2014-06-21
15,693,2014-06-21 00:00:46,2014-06-21 00:01:36,31.224452,121.511537,11,11.0,50,40,439,201406,21,5,2014-06-21
